t,frame,detected,x,y,z,t_grab,t_total,t_prepare,t_search,t_approx,t_refine,t_estimate
1812,26,1,18.1308,-56.173,193.801,35,4,1,3,0,0,0
1882,27,1,15.6648,-55.7219,194.306,42,6,2,3,0,0,1
1943,28,1,18.1297,-56.1908,193.743,35,4,1,2,0,0,1
2016,29,1,17.6059,-56.053,194.027,46,6,2,3,0,0,0
2078,30,1,17.1483,-55.5817,194.178,36,4,1,2,0,0,0
2142,31,1,16.5182,-56.1393,194.122,37,4,1,2,0,0,0
2209,32,1,14.1612,-54.9614,194.597,41,5,1,3,0,0,1
2270,33,1,17.3226,-55.8941,194.221,36,4,1,3,0,0,0
2339,34,1,17.8211,-55.3337,194.436,43,4,1,3,0,0,0
2400,35,1,17.6065,-55.4508,194.382,34,4,1,2,0,0,0
2465,36,1,16.3296,-55.6509,194.351,40,4,1,3,0,0,0
2532,37,1,17.4435,-55.8802,194.173,41,4,1,2,0,0,0
2601,38,1,16.4519,-55.5997,194.375,42,5,2,3,0,0,0
2676,39,1,18.2845,-56.1503,193.915,49,4,1,2,0,0,1
2738,40,1,16.7565,-56.0652,194.141,36,4,1,3,0,0,0
2805,41,1,16.7225,-56.1731,194.113,42,4,1,2,0,0,0
2867,42,1,14.6282,-55.1749,194.41,36,4,1,3,0,0,0
2936,43,1,17.0256,-56.6385,193.861,42,5,2,2,0,0,0
3005,44,1,17.3149,-55.3736,194.428,42,5,2,2,0,0,0
3069,45,1,16.1446,-55.2659,194.052,36,5,2,2,0,0,0
3132,46,1,17.3412,-55.9927,194.171,35,5,1,3,0,0,1
3202,47,1,16.8226,-56.2812,193.926,42,6,1,4,0,0,1
3265,48,1,15.0299,-54.833,194.547,37,4,1,2,0,0,1
3334,49,1,16.0434,-54.4283,194.608,42,5,1,3,0,0,1
3394,50,1,17.3445,-55.5494,194.298,35,4,1,3,0,0,0
3461,51,1,17.5211,-55.475,194.342,41,4,1,3,0,0,0
3530,52,1,17.6003,-55.9241,194.055,42,5,1,3,0,0,0
3592,53,1,17.9166,-55.5743,194.206,36,5,2,3,0,0,0
3690,54,1,15.0153,-54.8833,194.284,70,5,2,2,1,0,0
3757,55,1,15.6823,-55.9459,194.339,40,4,1,2,0,0,1
3823,56,1,15.3103,-54.687,194.417,41,4,1,3,0,0,0
3891,57,1,16.8367,-55.31,194.134,42,4,1,3,0,0,0
3953,58,1,15.9974,-55.4214,194.294,36,4,1,3,0,0,0
4022,59,1,16.2934,-56.4817,194.02,41,6,2,3,0,0,0
4083,60,1,16.8778,-55.8971,194.089,35,4,1,2,0,0,0
4148,61,1,17.5779,-56.4788,193.808,41,4,1,2,0,0,1
4227,62,1,15.3174,-56.1,194.365,53,5,1,3,0,0,1
4289,63,1,16.9195,-56.1375,194.003,36,4,1,2,0,0,0
4358,64,1,17.0197,-55.8641,194.159,41,5,2,2,0,0,0
4416,65,1,16.1346,-56.1248,193.981,29,5,1,3,0,0,1
4482,66,1,16.2531,-55.6871,194.228,42,4,1,2,0,0,0
4549,67,1,15.7362,-54.7977,194.408,42,5,2,2,0,0,0
4616,68,1,18.3398,-55.5531,194.162,41,4,1,2,0,0,1
4681,69,1,17.7757,-55.8756,194.07,40,4,1,2,0,0,0
4758,70,1,17.6093,-55.4895,194.422,48,4,1,3,0,0,0
4816,71,1,18.2075,-54.94,194.434,30,4,1,2,0,0,0
4884,72,1,17.2667,-56.3011,194.017,43,4,1,3,0,0,0
4953,73,1,14.2999,-54.835,194.555,41,5,1,3,0,0,0
5017,74,1,17.2616,-56.1364,194.071,36,5,2,2,0,0,0
5080,75,1,15.8908,-53.5509,195.217,37,4,1,3,0,0,0
5147,76,1,13.7016,-55.0629,194.398,41,5,1,3,0,0,1
5213,77,1,16.2557,-56.2225,194.181,42,4,1,2,0,0,0
5283,78,1,15.967,-56.6635,193.811,42,5,2,2,0,0,0
5346,79,1,17.8782,-55.6376,194.223,36,5,1,3,0,0,1
5405,80,1,15.8583,-55.9107,194.445,34,4,1,2,0,0,0
5475,81,1,16.1613,-55.3076,194.384,43,5,1,3,0,0,1
5535,82,1,16.8771,-55.7558,194.136,34,4,1,2,0,0,0
5610,83,1,17.6349,-56.4026,193.827,49,4,1,3,0,0,0
5679,84,1,15.9076,-56.0623,194.21,42,4,1,3,0,0,0
5743,85,1,17.0168,-55.0017,194.535,37,5,1,3,0,0,1
5803,86,1,17.1218,-56.212,193.978,35,4,1,2,0,0,0
5871,87,1,16.0478,-56.2304,194.205,42,5,1,3,0,0,1
5944,88,1,18.2978,-55.6384,194.297,46,5,2,2,1,0,0
6006,89,1,16.9154,-56.3458,193.95,36,4,1,2,0,0,0
6076,90,1,17.7553,-55.5632,194.11,43,5,1,3,0,0,0
6143,91,1,14.4483,-54.547,194.72,41,5,2,2,0,0,1
6207,92,1,14.7103,-55.2255,194.508,37,5,2,2,0,0,0
6269,93,1,17.454,-55.1787,194.487,36,5,1,3,0,0,1
6339,94,1,15.2977,-55.6858,194.221,43,6,2,3,0,0,1
6399,95,1,16.6359,-55.7271,194.153,34,5,1,3,0,0,1
6467,96,1,16.804,-56.3171,193.93,43,5,2,2,0,0,0
6529,97,1,17.5417,-56.0897,194.017,36,4,1,3,0,0,0
6596,98,1,16.3479,-55.3792,194.23,41,4,1,3,0,0,0
6672,99,1,15.8017,-55.5275,194.4,49,5,2,2,0,0,0
6734,100,1,17.1716,-56.3943,193.876,36,5,2,2,1,0,0
6796,101,1,18.0973,-55.7141,194.023,36,4,1,3,0,0,0
6865,102,1,16.559,-56.0838,194.112,42,5,2,2,0,0,1
6932,103,1,16.5446,-56.5535,193.763,42,4,1,2,0,0,0
6995,104,1,15.7629,-55.6914,194.354,37,5,1,3,0,0,0
7065,105,1,15.8934,-56.0705,194.241,42,6,2,3,0,0,0
7162,106,1,17.0644,-56.5078,193.79,70,5,1,3,0,0,0
7231,107,1,18.0792,-55.8122,194.198,41,5,2,3,0,0,0
7294,108,1,16.1912,-55.1876,194.556,35,6,2,3,0,0,0
7355,109,1,15.7679,-56.2088,194.159,35,4,1,3,0,0,0
7425,110,1,16.8002,-55.8115,194.21,42,6,1,4,0,0,1
7489,111,1,16.0225,-55.6689,194.303,36,5,1,3,0,0,0
7552,112,1,16.5876,-55.3355,194.362,36,5,2,2,0,0,0
7626,113,1,16.4005,-56.734,193.853,49,4,1,2,0,0,0
7688,114,1,15.8199,-56.7915,193.856,35,5,2,2,0,0,0
7754,115,1,17.0562,-55.6207,194.238,41,5,1,3,0,0,0
7825,116,1,16.6849,-55.0328,194.566,43,6,2,3,0,0,1
7883,117,1,17.0683,-55.7072,194.207,31,4,1,3,0,0,0
7949,118,1,17.4129,-55.7042,194.279,41,3,1,2,0,0,0
8018,119,1,16.6654,-55.7336,194.258,41,5,2,2,0,0,0
8080,120,1,16.9443,-55.6174,194.311,36,3,1,2,0,0,0
8143,121,1,17.2243,-56.1473,194.074,36,4,1,2,0,0,0
8211,122,1,15.4374,-55.0555,194.651,41,5,2,2,0,0,0
8280,123,1,16.8075,-55.8275,194.075,42,5,1,3,0,0,1
8348,124,1,13.4862,-54.5462,194.707,42,4,1,2,0,0,0
8410,125,1,16.1629,-56.0703,194.179,35,5,2,2,0,0,0
8479,126,1,16.3362,-56.4806,193.858,42,5,1,3,0,0,0
8542,127,1,16.8499,-56.1082,194.139,36,4,1,3,0,0,0
8616,128,1,16.9726,-57.0786,193.712,49,4,1,3,0,0,0
8680,129,1,16.9598,-56.708,193.526,37,4,1,3,0,0,0
8746,130,1,17.3585,-55.6256,194.082,37,5,1,3,0,0,0
8814,131,1,17.6934,-56.9135,193.551,41,5,2,3,0,0,0
8879,132,1,17.0762,-56.2092,193.87,37,5,1,3,0,0,0
8943,133,1,17.4713,-55.5282,194.29,37,5,1,3,0,0,1
9005,134,1,16.4483,-56.3806,193.975,37,4,1,2,0,0,0
9067,135,1,17.2433,-55.8735,194.093,35,5,2,2,0,0,1
9135,136,1,17.8161,-55.0838,194.418,43,4,1,2,0,0,0
9212,137,1,17.1696,-56.0109,194.218,49,5,2,2,0,0,0
9274,138,1,17.8009,-55.0597,194.424,35,5,1,3,1,0,0
9335,139,1,17.6131,-56.1728,194.069,36,4,1,3,0,0,0
9406,140,1,17.4484,-55.2349,194.477,42,5,1,3,0,0,1
9469,141,1,17.8465,-54.6002,194.885,36,4,1,3,0,0,0
9532,142,1,16.6329,-55.7188,194.271,36,5,1,3,0,0,1
9600,143,1,17.0358,-55.63,194.288,40,6,2,3,1,0,0
9661,144,1,17.0357,-55.9291,194.064,33,5,2,2,0,0,0
9735,145,1,17.3419,-55.2572,194.44,46,5,1,3,0,0,1
9800,146,1,17.082,-55.4756,194.401,39,4,1,2,0,0,0
9861,147,1,16.1612,-55.3521,194.398,35,4,1,2,0,0,0
9927,148,1,17.589,-56.7501,193.735,40,4,1,3,0,0,0
9994,149,1,17.1167,-55.8292,194.3,39,4,1,2,0,0,0
10066,150,1,16.6086,-56.162,194.13,47,4,1,2,0,0,0
10133,151,1,16.5589,-55.4809,194.382,41,4,1,2,0,0,0
10200,152,1,16.3027,-55.5679,194.366,42,4,1,2,0,0,0
10261,153,1,16.8387,-56.6474,193.805,35,4,1,2,0,0,0
10330,154,1,16.6209,-56.549,193.736,42,5,1,3,0,1,0
10395,155,1,15.4966,-54.8223,194.564,39,4,1,3,0,0,0
10456,156,1,16.8175,-55.7273,194.297,36,4,1,2,0,0,0
10524,157,1,17.6607,-55.8907,194.003,42,4,1,3,0,0,0
10593,158,1,16.9429,-55.3857,194.511,42,5,1,3,0,0,1
10687,159,1,16.0678,-56.538,193.903,65,6,1,4,0,0,1
10761,160,1,16.4196,-56.4345,193.931,47,5,1,3,0,0,1
10823,161,1,16.828,-55.8948,194.131,34,4,1,3,0,0,0
10892,162,1,16.7237,-55.5558,194.339,42,6,1,4,0,0,1
10961,163,1,17.2046,-56.6862,193.886,41,6,1,4,0,0,1
11025,164,1,16.8,-55.7735,194.215,36,5,1,3,0,0,1
11089,165,1,16.0074,-56.1012,194.18,37,5,2,2,1,0,0
11154,166,1,16.4091,-54.9245,194.475,37,6,2,3,0,0,1
11221,167,1,16.4295,-56.3735,193.908,40,5,1,3,0,0,1
11284,168,1,16.2016,-55.7465,194.152,36,5,2,2,0,0,0
11349,169,1,17.3587,-56.3011,193.928,35,5,2,2,1,0,0
11417,170,1,15.3288,-55.092,194.44,42,4,1,2,0,0,0
11486,171,1,15.7242,-55.2246,194.324,41,5,1,3,0,0,0
11549,172,1,16.3185,-56.216,193.995,36,5,1,3,0,0,0
11618,173,1,16.032,-55.7125,194.203,42,5,1,3,0,0,1
11681,174,1,16.5027,-56.0734,194.15,37,4,1,3,0,0,0
11749,175,1,16.7062,-55.3169,194.528,40,5,2,3,0,0,0
11811,176,1,16.8642,-56.0958,194.192,36,4,1,2,0,0,0
11880,177,1,17.9192,-55.6359,194.112,43,5,1,3,0,0,1
11942,178,1,15.868,-56.7224,193.894,36,4,1,3,0,0,0
12012,179,1,15.3003,-54.3668,194.832,43,4,1,3,0,0,0
12079,180,1,15.6128,-55.5623,194.413,41,5,2,2,0,0,0
12142,181,1,15.9203,-56.148,194.271,36,5,1,3,0,0,1
12210,182,1,16.8242,-55.7377,194.447,41,5,2,2,0,0,1
12273,183,1,17.7283,-55.8587,194.09,36,4,1,3,0,0,0
12340,184,1,16.8849,-54.3684,195.084,43,4,1,3,0,0,0
12407,185,1,18.0994,-54.8963,194.486,40,5,1,3,1,0,0
12478,186,1,16.3916,-55.9543,194.262,44,4,1,2,0,0,0
12535,187,1,15.8413,-54.7567,194.556,31,3,1,2,0,0,0
12604,188,1,17.1464,-55.7112,194.142,42,4,1,3,0,0,0
12667,189,1,17.8625,-55.3443,194.366,37,4,1,3,0,0,0
12735,190,1,17.5181,-55.6668,194.328,41,5,1,3,0,0,1
12796,191,1,16.6188,-55.6149,194.419,36,4,1,3,0,0,0
12870,192,1,13.9343,-54.7136,194.552,47,5,1,3,0,0,1
12937,193,1,15.9274,-56.2643,193.964,42,4,1,2,0,0,0
13005,194,1,16.2443,-55.8234,194.198,42,4,1,2,0,0,0
13067,195,1,15.9559,-56.371,194.271,36,5,1,3,0,0,1
13127,196,1,14.5503,-55.6673,194.25,34,4,1,2,0,0,0
13194,197,1,15.373,-55.8225,194.313,42,4,1,3,0,0,0
13263,198,1,16.7136,-55.7035,194.188,42,5,2,2,0,0,0
13323,199,1,15.6246,-56.8168,193.893,35,4,1,2,1,0,0
13402,200,1,17.1041,-56.1166,193.957,53,4,1,3,0,0,0
13471,201,1,17.6408,-55.4122,194.288,42,4,1,3,0,0,0
13536,202,1,14.7603,-54.5283,194.901,37,5,1,3,0,0,0
13599,203,1,17.1484,-56.1233,194.23,36,4,1,3,0,0,0
13668,204,1,13.5053,-54.1888,194.858,41,6,2,3,0,0,1
13730,205,1,14.5665,-55.0306,194.448,36,5,1,3,0,0,0
13797,206,1,15.6662,-55.7768,194.305,42,5,1,3,0,0,1
13861,207,1,17.3949,-55.6178,194.25,36,5,2,2,0,0,0
13923,208,1,16.945,-55.8631,194.23,36,4,1,2,0,0,0
13991,209,1,17.5471,-55.8395,194.05,42,4,1,2,0,0,0
14058,210,1,15.9047,-55.2657,194.599,41,5,1,3,0,0,1
14149,211,1,17.2758,-55.556,194.472,64,4,1,2,0,0,1
14218,212,1,16.0477,-56.6054,193.966,42,5,1,3,0,0,1
14290,213,1,16.777,-55.8114,194.266,47,5,1,3,0,0,1
14357,214,1,17.0435,-55.5937,194.45,43,4,1,3,0,0,0
14424,215,1,16.9544,-55.3767,194.651,41,4,1,3,0,0,0
14492,216,1,15.9592,-55.6988,194.491,41,5,1,3,0,0,1
14554,217,1,16.651,-54.7346,194.827,37,4,1,2,0,0,0
14623,218,1,15.6783,-55.9874,194.317,42,5,1,3,0,0,1
14684,219,1,15.8857,-55.7135,194.294,35,4,1,2,0,0,0
14751,220,1,17.0355,-55.5703,194.379,42,4,1,3,0,0,0
14819,221,1,15.3226,-54.9988,194.456,42,4,1,2,0,0,0
14883,222,1,14.9078,-56.0772,194.432,36,5,1,3,0,0,1
14951,223,1,15.5983,-55.8406,194.387,42,4,1,2,0,0,0
15019,224,1,16.1504,-55.2969,194.361,42,4,1,2,0,0,0
15084,225,1,15.8995,-55.6893,194.451,37,5,2,2,0,0,0
